Date,Match number,Team home,Team away,Ground
20/01/24 11:29 am,1,CSK,PBKS,CSK_home
21/01/24 11:29 am,2,PBKS,CSK,PBKS_home
22/01/24 11:29 am,3,CSK,SRH,CSK_home
23/01/24 11:29 am,4,SRH,CSK,SRH_home
24/01/24 11:29 am,5,CSK,RCB,CSK_home
25/01/24 11:29 am,6,RCB,CSK,RCB_home
26/01/24 11:29 am,7,CSK,DC,CSK_home
27/01/24 11:29 am,8,DC,CSK,DC_home
28/01/24 11:29 am,9,CSK,RR,CSK_home
29/01/24 11:29 am,10,RR,CSK,RR_home
30/01/24 11:29 am,11,CSK,MI,CSK_home
31/01/24 11:29 am,12,MI,CSK,MI_home
01/02/24 11:29 am,13,CSK,KKR,CSK_home
02/02/24 11:29 am,14,KKR,CSK,KKR_home
03/02/24 11:29 am,15,PBKS,CSK,PBKS_home
04/02/24 11:29 am,16,CSK,PBKS,CSK_home
05/02/24 11:29 am,17,PBKS,SRH,PBKS_home
06/02/24 11:29 am,18,SRH,PBKS,SRH_home
07/02/24 11:29 am,19,PBKS,RCB,PBKS_home
08/02/24 11:29 am,20,RCB,PBKS,RCB_home
09/02/24 11:29 am,21,PBKS,DC,PBKS_home
10/02/24 11:29 am,22,DC,PBKS,DC_home
11/02/24 11:29 am,23,PBKS,RR,PBKS_home
12/02/24 11:29 am,24,RR,PBKS,RR_home
13/02/24 11:29 am,25,PBKS,MI,PBKS_home
14/02/24 11:29 am,26,MI,PBKS,MI_home
15/02/24 11:29 am,27,PBKS,KKR,PBKS_home
16/02/24 11:29 am,28,KKR,PBKS,KKR_home
17/02/24 11:29 am,29,SRH,CSK,SRH_home
18/02/24 11:29 am,30,CSK,SRH,CSK_home
19/02/24 11:29 am,31,SRH,PBKS,SRH_home
20/02/24 11:29 am,32,PBKS,SRH,PBKS_home
21/02/24 11:29 am,33,SRH,RCB,SRH_home
22/02/24 11:29 am,34,RCB,SRH,RCB_home
23/02/24 11:29 am,35,SRH,DC,SRH_home
24/02/24 11:29 am,36,DC,SRH,DC_home
25/02/24 11:29 am,37,SRH,RR,SRH_home
26/02/24 11:29 am,38,RR,SRH,RR_home
27/02/24 11:29 am,39,SRH,MI,SRH_home
28/02/24 11:29 am,40,MI,SRH,MI_home
29/02/24 11:29 am,41,SRH,KKR,SRH_home
01/03/24 11:29 am,42,KKR,SRH,KKR_home
02/03/24 11:29 am,43,RCB,CSK,RCB_home
03/03/24 11:29 am,44,CSK,RCB,CSK_home
04/03/24 11:29 am,45,RCB,PBKS,RCB_home
05/03/24 11:29 am,46,PBKS,RCB,PBKS_home
06/03/24 11:29 am,47,RCB,SRH,RCB_home
07/03/24 11:29 am,48,SRH,RCB,SRH_home
08/03/24 11:29 am,49,RCB,DC,RCB_home
09/03/24 11:29 am,50,DC,RCB,DC_home
10/03/24 11:29 am,51,RCB,RR,RCB_home
11/03/24 11:29 am,52,RR,RCB,RR_home
12/03/24 11:29 am,53,RCB,MI,RCB_home
13/03/24 11:29 am,54,MI,RCB,MI_home
14/03/24 11:29 am,55,RCB,KKR,RCB_home
15/03/24 11:29 am,56,KKR,RCB,KKR_home
16/03/24 11:29 am,57,DC,CSK,DC_home
17/03/24 11:29 am,58,CSK,DC,CSK_home
18/03/24 11:29 am,59,DC,PBKS,DC_home
19/03/24 11:29 am,60,PBKS,DC,PBKS_home
20/03/24 11:29 am,61,DC,SRH,DC_home
21/03/24 11:29 am,62,SRH,DC,SRH_home
22/03/24 11:29 am,63,DC,RCB,DC_home
23/03/24 11:29 am,64,RCB,DC,RCB_home
